isco_08_code;n;Proximidad física;Correo electrónico;Independencia
3315;3;2,81;4,826666667;4,833333333
3321;3;3,08;5;5,22
3322;4;2,935;4,965;5
3323;3;2,94;4,97;4,666666667
3324;3;3,104444444;4,929444444;4,703333333
3331;2;3,155;4,8675;3,335
3332;1;3,87;4,88;5,33
3333;2;3,135;4,045;4,165
3334;4;3,1925;5;5,3325
3339;8;2,933571429;4,940238095;5,04202381
3341;1;2,89;4,55;5,33
3342;1;2,62;4,99;3
3343;2;2,995;4,485;3,5
3344;2;3,26;4;2,835
3351;3;3,832777778;4,527222222;5,592777778
3352;1;3,26;4,59;3,67
3353;2;3,306666667;4,615833333;4,554166667
3354;2;3,368333333;4,524166667;4,2775
3355;2;3,906;4,888;5,465
3359;1;3,7;3,56;4,67
3411;7;3,205;4,481666667;4
3412;1;4,16;4,54;4
3413;1;NA;NA;NA
3421;1;3,37;4,03;4,33
3422;3;3,943333333;4,213333333;5,333333333
3423;4;4,3675;4,21375;5,2925
3431;1;3,72;4,8;5
3432;3;3,3;4,526666667;5,113333333
3433;3;3,003333333;4,486666667;4,443333333
3434;2;4,515;4,24;5,335
3435;6;4,05;3,84;2,33
3511;1;2,66;4,94;5
3512;1;3,55;5;5
3513;1;3,2;4,92;4
3514;2;2,95;4,84;5
3521;6;3,484;4,738;4,398
3522;1;3,265;4,69;4
4110;2;3,3;4,88;3,5
4120;1;2,7;4,76;2,67
4131;1;2,86;4,86;3,67
4132;1;3,26;4,3;2
4211;2;4,15;3,76;3,335
4212;6;4,31;2,38;3,866
4213;2;NA;NA;NA
4214;2;2,675;4,48;4,5
4221;3;3,386666667;4,37;4,11
4222;2;3,37;4,4025;3,5
4223;2;3,62;2,78;3,5
4224;2;3,575;4,835;3,665
4225;2;2,895;4,66;3,5
4226;1;3,07;4,58;3
4227;1;3,93;2,95;3,67
4229;3;3,23;4,57;4,33
4311;2;3,065;4,515;3,835
4312;6;3,259;4,733;3,865
4313;1;2,48;4,9;3,33
4321;3;3,3025;3,575;2,834166667
4322;1;3,09;4,53;5,33
4323;1;3,32;4,68;4,67
4411;2;3,68;4,74;3
4412;5;3,556;2,958;2,6
